  10 | 00:04:19 | Agent: -20.8% (-20.8%) | Market:   9.9% (  9.9%) | Wins:  0.0% | eps:  0.005 | KO
  20 | 00:08:51 | Agent: -19.0% (-17.2%) | Market:   4.5% ( -1.0%) | Wins: 10.0% | eps:  0.005 | KO
  30 | 00:13:45 | Agent: -17.0% (-12.9%) | Market:   7.2% ( 12.6%) | Wins: 10.0% | eps:  0.004 | KO
  40 | 00:19:07 | Agent: -15.5% (-11.1%) | Market:   7.8% (  9.7%) | Wins: 12.5% | eps:  0.004 | KO
  50 | 00:24:59 | Agent: -15.2% (-14.2%) | Market:   8.1% (  9.4%) | Wins: 16.0% | eps:  0.004 | KO
  60 | 00:31:15 | Agent: -15.8% (-18.5%) | Market:   8.4% (  9.7%) | Wins: 13.3% | eps:  0.003 | KO
  70 | 00:37:60 | Agent: -14.4% ( -6.0%) | Market:   8.2% (  7.1%) | Wins: 14.3% | eps:  0.003 | KO
  80 | 00:45:13 | Agent: -14.8% (-17.7%) | Market:   8.8% ( 13.3%) | Wins: 12.5% | eps:  0.003 | KO
  90 | 00:52:49 | Agent: -15.1% (-17.9%) | Market:   8.5% (  5.4%) | Wins: 13.3% | eps:  0.002 | KO
 100 | 01:00:50 | Agent: -14.8% (-12.0%) | Market:   8.4% (  7.9%) | Wins: 14.0% | eps:  0.002 | KO
