Agent,Market,Difference,Strategy Wins (%)
0.9953735116279383,0.5282134600688342,0.4671600515591041,
0.47372084153205546,0.7362816827802406,-0.2625608412481852,
1.1583289038559528,1.4307036247334681,-0.27237472087751535,
0.9799647540334315,1.2039564804025293,-0.2239917263690978,
0.2589176884913349,0.3591578947368282,-0.10024020624549329,
0.8343616538965807,1.3701377388767126,-0.535776084980132,
1.280105257260377,0.8681554508672495,0.4119498063931275,
1.1334263175331512,1.5097972457133755,-0.37637092818022433,
0.5537329657866447,2.114885496183183,-1.5611525303965386,
0.24893815243873813,0.38496358984450413,-0.136025437405766,2.0
0.8469074132971111,1.648348690289797,-0.801441276992686,1.0
0.57941661433378,1.6205357142856962,-1.0411190999519162,1.0
0.5817430469934771,1.7869657352014383,-1.2052226882079613,1.0
0.6318029527317066,1.1473790513459772,-0.5155760986142706,1.0
0.8499276513716343,0.919944875150563,-0.07001722377892872,1.0
0.7396221419985116,0.43075056335587686,0.30887157864263476,2.0
0.8472548847421942,1.224043753526902,-0.37678886878470774,1.0
0.9837681189688361,1.0923063948413345,-0.10853827587249842,1.0
2.0216883023692107,0.795288839035337,1.2263994633338737,2.0
1.16208626249076,1.416930646042628,-0.2548443835518681,2.0
0.5514405555565729,2.1034285714285046,-1.5519880158719317,2.0
0.5715067263096861,1.4936839829513633,-0.9221772566416772,2.0
1.068873311581253,1.4474885844748921,-0.37861527289363917,2.0
0.998950889272654,1.091209280946763,-0.0922583916741091,2.0
0.9714443899750288,1.5332533941184825,-0.5618090041434537,2.0
0.8212826298254013,1.023056660294019,-0.20177403046861764,1.0
1.0886586971727876,1.1349536511362186,-0.046294953963430974,1.0
0.7050856245320595,0.553276956223083,0.15180866830897644,2.0
0.3905731093818873,0.5102255825483191,-0.1196524731664318,1.0
0.7827260051270342,0.6650071486883804,0.11771885643865376,2.0
0.8815072384580109,0.8681967307019025,0.013310507756108425,3.0
0.8296670785751243,1.3093333333333759,-0.47966625475825153,3.0
0.7597462431776514,0.994641402260803,-0.23489515908315162,3.0
0.8352469864776931,1.954788816180858,-1.1195418297031647,3.0
0.4614919448245839,0.8539158576051815,-0.39242391278059763,3.0
0.46635725746709356,2.645177165354335,-2.1788199078872417,3.0
0.7296383578728246,0.5811403662754367,0.14849799159738786,4.0
1.280105257260375,0.8096322809143014,0.47047297634607366,4.0
1.0127581013325841,1.629360805432002,-0.6166027040994178,4.0
1.3528537144534816,0.7516993202718752,0.6011543941816063,4.0
0.6827323271065241,2.422892392049334,-1.7401600649428097,3.0
0.808638661060169,0.5570419576437626,0.2515967034164064,4.0
1.2584065515123664,1.184755039380613,0.07365151213175336,5.0
0.7030904289948257,1.3213432118577673,-0.6182527828629416,5.0
1.4052205609238324,0.6073950976319212,0.7978254632919112,6.0
1.0840257444392567,1.2344344253234596,-0.1504086808842029,6.0
0.47054329958820607,0.8586228973866483,-0.38807959779844226,5.0
0.4162522758467184,1.6194651468654422,-1.2032128710187238,4.0
0.9142389488159729,1.4406119909502404,-0.5263730421342675,4.0
0.4907434819931212,1.7738862426449982,-1.283142760651877,3.0
0.8400642610373186,1.4204545454545954,-0.5803902844172768,3.0
0.5290125746181049,2.0064205457464572,-1.4774079711283523,2.0
0.8931309446439489,1.2126035860557698,-0.31947264141182086,1.0
0.8498469600820211,1.5058820573568399,-0.6560350972748188,1.0
0.28137413460545585,0.4868938401048633,-0.20551970549940746,0.0
1.0192578884909007,0.9638203014713985,0.05543758701950219,1.0
0.6162912511574028,0.6580752483360836,-0.041783997178680754,1.0
1.1665951313165235,0.6834310800708061,0.4831640512457174,2.0
0.9123936154964014,0.9699303745967087,-0.05753675910030731,2.0
0.6279834829397282,1.7371970661629539,-1.1092135832232257,2.0
1.0473313228528267,0.676594520708307,0.37073680214451976,3.0
0.6329222887015725,1.7062130883493534,-1.073290799647781,3.0
1.003252973994641,1.287897662363974,-0.284644688369333,3.0
0.5708917617838543,1.4058888474094227,-0.8349970856255684,3.0
0.8882508169758259,0.5297241711377911,0.35852664583803473,4.0
0.6256617680871682,0.6715151515151547,-0.045853383427986505,3.0
0.25407570086418957,1.9172171758877445,-1.663141475023555,3.0
0.7377212765492648,1.39565361645657,-0.6579323399073053,2.0
1.0107116143622268,1.1004148827550246,-0.08970326839279785,2.0
0.5926761729368731,2.26892744479491,-1.6762512718580367,2.0
0.9544871809049142,0.9464627227390872,0.008024458165827086,2.0
0.8095172615667637,1.4624669743688898,-0.6529497128021261,2.0
0.4312864432552285,1.9296962879640889,-1.4984098447088603,2.0
0.8793669624658389,1.4445910290237665,-0.5652240665579276,2.0
0.32445941405715356,0.3073770491803414,0.01708236487681214,2.0
0.6930869348094144,1.1231299244742552,-0.4300429896648408,2.0
2.1896198953307326,1.2370030581039329,0.9526168372267998,3.0
0.34426269209989546,2.6473590201582544,-2.303096328058359,3.0
0.5951748765203041,1.9529351710056193,-1.357760294485315,3.0
1.0331748436064951,1.0758561779134164,-0.042681334306921226,3.0
0.7256873627195248,0.7581433224755766,-0.032455959756051755,2.0
0.5318486482349828,0.8094357076780772,-0.27758705944309436,2.0
1.0169568415116628,1.3402912386020263,-0.3233343970903635,2.0
0.6010848039767105,0.5406687424166077,0.06041606156010282,3.0
0.7575662273060321,1.0172407596440356,-0.2596745323380035,2.0
0.8256906559107526,1.3238029272013943,-0.4981122712906416,2.0
1.1060812318208384,1.0074167895682677,0.09866444225257065,2.0
0.7944316838609777,1.8471442400775373,-1.0527125562165596,2.0
0.8520145851968195,1.6505000000000065,-0.798485414803187,2.0
